Cas_Praha,Predicted_Funding_%,Premium_Index,Zmena_%,Pocet_dat,Okno,Ciel_Settlement
2025-06-05 02:00:01+02:00,0.0012755186721991692,-0.0004872448132780083,,241,1,06:00
2025-06-05 02:10:01+02:00,0.0018167330677290865,-0.00048183266932270915,0.0005412143955299173,251,1,06:00
2025-06-05 02:20:01+02:00,0.002031034482758619,-0.0004796896551724138,0.0002143014150295323,261,1,06:00
2025-06-05 02:30:01+02:00,0.0023162361623616217,-0.0004768376383763838,0.0002852016796030029,271,1,06:00
2025-06-05 02:40:01+02:00,0.0023163701067615674,-0.00047683629893238434,1.3394439994564994e-07,281,1,06:00
2025-06-05 02:50:01+02:00,0.0025020618556701032,-0.000474979381443299,0.00018569174890853586,291,1,06:00
2025-06-05 03:00:01+02:00,0.002782724252491694,-0.00047217275747508307,0.0002806623968215909,301,1,06:00
2025-06-05 03:10:01+02:00,0.0027733118971061087,-0.0004722668810289389,-9.412355385585418e-06,311,1,06:00
2025-06-05 03:20:01+02:00,0.0028841121495327138,-0.0004711588785046729,0.0001108002524266051,321,1,06:00
2025-06-05 03:30:01+02:00,0.002923564954682785,-0.00047076435045317216,3.945280515007133e-05,331,1,06:00
2025-06-05 03:40:01+02:00,0.0030407624633431115,-0.0004695923753665689,0.00011719750866032641,341,1,06:00
2025-06-05 03:50:01+02:00,0.003269800569800571,-0.0004673019943019943,0.00022903810645745959,351,1,06:00
2025-06-05 04:00:01+02:00,0.0034368421052631626,-0.0004656315789473684,0.00016704153546259152,361,1,06:00
2025-06-05 04:10:01+02:00,0.003509433962264153,-0.0004649056603773585,7.259185700099046e-05,371,1,06:00
2025-06-05 04:20:01+02:00,0.0037299212598425214,-0.0004627007874015748,0.0002204872975783683,381,1,06:00
2025-06-05 04:30:01+02:00,0.003779795396419432,-0.0004622020460358057,4.987413657691047e-05,391,1,06:00
2025-06-05 04:40:01+02:00,0.0037870324189526205,-0.0004621296758104738,7.237022533188638e-06,401,1,06:00
2025-06-05 04:50:01+02:00,0.003859124087591241,-0.0004614087591240876,7.209166863862042e-05,411,1,06:00
2025-06-05 05:00:01+02:00,0.003911638954869366,-0.00046088361045130635,5.251486727812522e-05,421,1,06:00
2025-06-05 05:10:01+02:00,0.003954292343387472,-0.0004604570765661253,4.265338851810584e-05,431,1,06:00
2025-06-05 05:20:01+02:00,0.003906349206349205,-0.00046093650793650796,-4.794313703826696e-05,441,1,06:00
2025-06-05 05:30:01+02:00,0.0038685144124168546,-0.00046131485587583146,-3.783479393235046e-05,451,1,06:00
2025-06-05 05:40:01+02:00,0.0036544468546637803,-0.0004634555314533622,-0.00021406755775307427,461,1,06:00
2025-06-05 05:50:01+02:00,0.0036326963906581824,-0.0004636730360934182,-2.17504640055979e-05,471,1,06:00
2025-06-05 06:01:00+02:00,-0.005599999999999996,-0.000556,-0.009232696390658178,2,2,14:00
2025-06-05 06:11:00+02:00,-0.009091666666666656,-0.0005909166666666666,-0.0034916666666666603,12,2,14:00
2025-06-05 06:21:00+02:00,-0.005863636363636368,-0.0005586363636363637,0.003228030303030288,22,2,14:00
2025-06-05 06:31:00+02:00,-0.006084374999999992,-0.0005608437499999999,-0.00022073863636362396,32,2,14:00
2025-06-05 06:41:00+02:00,-0.004911904761904751,-0.0005491190476190475,0.0011724702380952407,42,2,14:00
2025-06-05 06:51:00+02:00,-0.0038769230769230677,-0.0005387692307692307,0.0010349816849816833,52,2,14:00
2025-06-05 07:01:00+02:00,-0.0037725806451613018,-0.000537725806451613,0.00010434243176176599,62,2,14:00
2025-06-05 07:11:00+02:00,-0.0038624999999999922,-0.0005386249999999999,-8.991935483869049e-05,72,2,14:00
2025-06-05 07:21:00+02:00,-0.004632926829268301,-0.000546329268292683,-0.0007704268292683084,82,2,14:00
2025-06-05 07:31:00+02:00,-0.005383695652173913,-0.0005538369565217391,-0.0007507688229056123,92,2,14:00
2025-06-05 07:41:00+02:00,-0.00587941176470589,-0.0005587941176470589,-0.000495716112531977,102,2,14:00
2025-06-05 07:51:00+02:00,-0.006333928571428571,-0.0005633392857142857,-0.00045451680672268114,112,2,14:00
2025-06-05 08:01:00+02:00,-0.005633606557377041,-0.0005563360655737704,0.0007003220140515297,122,2,14:00
2025-06-05 08:11:00+02:00,-0.004506060606060609,-0.0005450606060606061,0.0011275459513164325,132,2,14:00
2025-06-05 08:21:00+02:00,-0.003409859154929586,-0.0005340985915492959,0.001096201451131023,142,2,14:00
2025-06-05 08:31:00+02:00,-0.0033006578947368482,-0.0005330065789473685,0.00010920126019273776,152,2,14:00
2025-06-05 08:41:00+02:00,-0.0029061728395061753,-0.0005290617283950618,0.0003944850552306729,162,2,14:00
2025-06-05 08:51:00+02:00,-0.0024488372093023195,-0.0005244883720930232,0.0004573356302038558,172,2,14:00
2025-06-05 09:01:00+02:00,-0.0018076923076923066,-0.0005180769230769231,0.000641144901610013,182,2,14:00
2025-06-05 09:11:00+02:00,-0.001382291666666665,-0.0005138229166666667,0.0004254006410256417,192,2,14:00
2025-06-05 09:21:00+02:00,-0.0009262376237623854,-0.0005092623762376239,0.00045605404290427953,202,2,14:00
2025-06-05 09:31:00+02:00,-0.0005028301886792494,-0.0005050283018867925,0.00042340743508313596,212,2,14:00
2025-06-05 09:41:00+02:00,6.486486486485853e-05,-0.0004993513513513514,0.000567695053544108,222,2,14:00
2025-06-05 09:51:00+02:00,0.0006228448275862118,-0.0004937715517241379,0.0005579799627213533,232,2,14:00
2025-06-05 10:01:00+02:00,0.0010359504132231444,-0.0004896404958677686,0.0004131055856369326,242,2,14:00
2025-06-05 10:11:00+02:00,0.001724206349206349,-0.0004827579365079365,0.0006882559359832046,252,2,14:00
2025-06-05 10:21:00+02:00,0.002436259541984737,-0.00047563740458015264,0.0007120531927783881,262,2,14:00
2025-06-05 10:31:00+02:00,0.0032702205882352954,-0.00046729779411764706,0.0008339610462505583,272,2,14:00
2025-06-05 10:41:00+02:00,0.004113829787234048,-0.00045886170212765953,0.0008436091989987527,282,2,14:00
2025-06-05 10:51:00+02:00,0.004839726027397267,-0.00045160273972602734,0.0007258962401632185,292,2,14:00
2025-06-05 11:01:00+02:00,0.005132781456953638,-0.00044867218543046363,0.0002930554295563709,302,2,14:00
2025-06-05 11:11:00+02:00,0.005301923076923078,-0.00044698076923076923,0.00016914161996944062,312,2,14:00
2025-06-05 11:21:00+02:00,0.00548726708074534,-0.0004451273291925466,0.00018534400382226156,322,2,14:00
2025-06-05 11:31:00+02:00,0.005652710843373493,-0.0004434728915662651,0.00016544376262815283,332,2,14:00
2025-06-05 11:41:00+02:00,0.005750292397660819,-0.0004424970760233918,9.758155428732634e-05,342,2,14:00
2025-06-05 11:51:00+02:00,0.005774147727272735,-0.00044225852272727266,2.3855329611916463e-05,352,2,14:00
2025-06-05 12:01:00+02:00,0.005636740331491715,-0.00044363259668508286,-0.00013740739578102078,362,2,14:00
2025-06-05 12:11:00+02:00,0.005535752688172045,-0.00044464247311827956,-0.00010098764331966954,372,2,14:00
2025-06-05 12:21:00+02:00,0.005400000000000001,-0.000446,-0.00013575268817204392,382,2,14:00
2025-06-05 12:31:00+02:00,0.005356887755102039,-0.0004464311224489796,-4.311224489796182e-05,392,2,14:00
2025-06-05 12:41:00+02:00,0.005682835820895521,-0.0004431716417910448,0.0003259480657934813,402,2,14:00
2025-06-05 12:51:00+02:00,0.0059126213592232985,-0.000440873786407767,0.0002297855383277779,412,2,14:00
2025-06-05 13:01:00+02:00,0.00601990521327014,-0.0004398009478672986,0.00010728385404684161,422,2,14:00
2025-06-05 13:11:00+02:00,0.006153240740740739,-0.0004384675925925926,0.0001333355274705985,432,2,14:00
2025-06-05 13:21:00+02:00,0.0061837104072398185,-0.0004381628959276018,3.0469666499079867e-05,442,2,14:00
2025-06-05 13:31:00+02:00,0.006265707964601773,-0.0004373429203539823,8.199755736195465e-05,452,2,14:00
2025-06-05 13:41:00+02:00,0.006225541125541123,-0.0004377445887445888,-4.0166839060650286e-05,462,2,14:00
2025-06-05 13:51:00+02:00,0.006308686440677967,-0.00043691313559322034,8.314531513684432e-05,472,2,14:00
2025-06-05 14:01:00+02:00,0.008150000000000003,-0.0004185,0.0018413135593220355,2,3,22:00
2025-06-05 14:11:00+02:00,0.010000000000000005,-0.0003908333333333333,0.0018500000000000027,12,3,22:00
2025-06-05 14:21:00+02:00,0.009999999999999998,-0.0003766363636363637,-6.938893903907228e-18,22,3,22:00
2025-06-05 14:31:00+02:00,0.010000000000000005,-0.0003916875,6.938893903907228e-18,32,3,22:00
2025-06-05 14:41:00+02:00,0.008076190476190482,-0.0004192380952380952,-0.0019238095238095238,42,3,22:00
2025-06-05 14:51:00+02:00,0.007475000000000011,-0.0004252499999999999,-0.0006011904761904704,52,3,22:00
2025-06-05 15:01:00+02:00,0.008100000000000013,-0.0004189999999999999,0.0006250000000000023,62,3,22:00
2025-06-05 15:11:00+02:00,0.007770833333333333,-0.0004222916666666667,-0.0003291666666666807,72,3,22:00
2025-06-05 15:21:00+02:00,0.007486585365853657,-0.00042513414634146344,-0.00028424796747967586,82,3,22:00
2025-06-05 15:31:00+02:00,0.006232608695652171,-0.0004376739130434783,-0.0012539766702014859,92,3,22:00
2025-06-05 15:41:00+02:00,0.006470588235294117,-0.00043529411764705884,0.00023797953964194585,102,3,22:00
2025-06-05 15:51:00+02:00,0.006415178571428577,-0.00043584821428571425,-5.5409663865539985e-05,112,3,22:00
2025-06-05 16:01:00+02:00,0.006049999999999989,-0.0004395000000000001,-0.00036517857142858746,122,3,22:00
2025-06-05 16:11:00+02:00,0.005644696969696973,-0.0004435530303030303,-0.00040530303030301626,132,3,22:00
2025-06-05 16:21:00+02:00,0.0057281690140845035,-0.000442718309859155,8.347204438753034e-05,142,3,22:00
2025-06-05 16:31:00+02:00,0.005872368421052635,-0.00044127631578947367,0.0001441994069681313,152,3,22:00
2025-06-05 16:41:00+02:00,0.006477160493827161,-0.0004352283950617284,0.0006047920727745258,162,3,22:00
2025-06-05 16:51:00+02:00,0.0072511627906976725,-0.0004274883720930233,0.0007740022968705119,172,3,22:00
2025-06-05 17:01:00+02:00,0.00801923076923077,-0.0004198076923076923,0.0007680679785330973,182,3,22:00
2025-06-05 17:11:00+02:00,0.009027083333333342,-0.0004097291666666666,0.001007852564102572,192,3,22:00
2025-06-05 17:21:00+02:00,0.009951485148514854,-0.00040048514851485147,0.0009244018151815126,202,3,22:00
2025-06-05 17:31:00+02:00,0.010000000000000005,-0.0003962028301886793,4.8514851485150987e-05,212,3,22:00
2025-06-05 17:41:00+02:00,0.009999999999999998,-0.00039042792792792796,-6.938893903907228e-18,222,3,22:00
2025-06-05 17:51:00+02:00,0.009999999999999998,-0.00038202586206896556,0.0,232,3,22:00
2025-06-05 18:01:00+02:00,0.009999999999999998,-0.00037600826446281,0.0,242,3,22:00
2025-06-05 18:11:00+02:00,0.009999999999999998,-0.0003708531746031746,0.0,252,3,22:00
2025-06-05 18:21:00+02:00,0.009999999999999998,-0.0003672442748091603,0.0,262,3,22:00
2025-06-05 18:31:00+02:00,0.009999999999999998,-0.00036677573529411765,0.0,272,3,22:00
2025-06-05 18:41:00+02:00,0.009999999999999998,-0.00036569503546099295,0.0,282,3,22:00
2025-06-05 18:51:00+02:00,0.009999999999999998,-0.0003633150684931507,0.0,292,3,22:00
2025-06-05 19:01:00+02:00,0.009999999999999998,-0.0003640198675496689,0.0,302,3,22:00
2025-06-05 19:11:00+02:00,0.009999999999999998,-0.00036022756410256405,0.0,312,3,22:00
2025-06-05 19:21:00+02:00,0.009999999999999998,-0.0003571925465838509,0.0,322,3,22:00
2025-06-05 19:31:00+02:00,0.009999999999999998,-0.0003553795180722892,0.0,332,3,22:00
2025-06-05 19:41:00+02:00,0.009999999999999998,-0.00035319005847953217,0.0,342,3,22:00
2025-06-05 19:51:00+02:00,0.009999999999999998,-0.0003507471590909091,0.0,352,3,22:00
2025-06-05 20:01:00+02:00,0.009999999999999998,-0.00035105524861878454,0.0,362,3,22:00
2025-06-05 20:11:00+02:00,0.009999999999999998,-0.00035216935483870973,0.0,372,3,22:00
2025-06-05 20:21:00+02:00,0.009999999999999998,-0.0003588664921465968,0.0,382,3,22:00
2025-06-05 20:31:00+02:00,0.009999999999999998,-0.0003647321428571429,0.0,392,3,22:00
2025-06-05 20:41:00+02:00,0.009999999999999998,-0.0003699203980099503,0.0,402,3,22:00
2025-06-05 20:51:00+02:00,0.009999999999999998,-0.0003744781553398058,0.0,412,3,22:00
2025-06-05 21:01:00+02:00,0.009999999999999998,-0.00037941469194312797,0.0,422,3,22:00
2025-06-05 21:11:00+02:00,0.009999999999999998,-0.0003830648148148148,0.0,432,3,22:00
2025-06-05 21:21:00+02:00,0.009999999999999998,-0.00038786199095022626,0.0,442,3,22:00
2025-06-05 21:31:00+02:00,0.009999999999999998,-0.00039425884955752213,0.0,452,3,22:00
2025-06-05 21:41:00+02:00,0.00996774891774891,-0.0004003225108225109,-3.2251082251088387e-05,462,3,22:00
2025-06-05 21:51:00+02:00,0.009297033898305083,-0.0004070296610169492,-0.0006707150194438273,472,3,22:00
