Cas_Praha,Predicted_Funding_%,Premium_Index,Zmena_%,Pocet_dat,Okno,Ciel_Settlement
2025-06-02 02:00:01+02:00,0.008076348547717846,-0.00041923651452282156,,241,1,06:00
2025-06-02 02:10:01+02:00,0.00807290836653387,-0.0004192709163346613,-3.440181183976196e-06,251,1,06:00
2025-06-02 02:20:01+02:00,0.008365517241379307,-0.00041634482758620694,0.00029260887484543717,261,1,06:00
2025-06-02 02:30:01+02:00,0.008367527675276753,-0.0004163247232472325,2.010433897445957e-06,271,1,06:00
2025-06-02 02:40:01+02:00,0.008518861209964413,-0.0004148113879003559,0.0001513335346876605,281,1,06:00
2025-06-02 02:50:01+02:00,0.00857800687285223,-0.0004142199312714777,5.9145662887817585e-05,291,1,06:00
2025-06-02 03:00:01+02:00,0.008618936877076412,-0.0004138106312292359,4.0930004224181554e-05,301,1,06:00
2025-06-02 03:10:01+02:00,0.008660771704180061,-0.0004133922829581994,4.1834827103648733e-05,311,1,06:00
2025-06-02 03:20:01+02:00,0.00871931464174455,-0.0004128068535825545,5.8542937564489556e-05,321,1,06:00
2025-06-02 03:30:01+02:00,0.008763141993957705,-0.00041236858006042296,4.382735221315423e-05,331,1,06:00
2025-06-02 03:40:01+02:00,0.008709970674486802,-0.000412900293255132,-5.3171319470902284e-05,341,1,06:00
2025-06-02 03:50:01+02:00,0.008748717948717948,-0.0004125128205128205,3.874727423114517e-05,351,1,06:00
2025-06-02 04:00:01+02:00,0.008719944598337945,-0.00041280055401662056,-2.877335038000209e-05,361,1,06:00
2025-06-02 04:10:01+02:00,0.008560107816711593,-0.0004143989218328841,-0.0001598367816263522,371,1,06:00
2025-06-02 04:20:01+02:00,0.00844094488188976,-0.0004155905511811024,-0.00011916293482183357,381,1,06:00
2025-06-02 04:30:01+02:00,0.00830332480818414,-0.0004169667519181586,-0.0001376200737056195,391,1,06:00
2025-06-02 04:40:01+02:00,0.008391521197007484,-0.00041608478802992516,8.819638882334377e-05,401,1,06:00
2025-06-02 04:50:01+02:00,0.008336982968369823,-0.0004166301703163018,-5.4538228637660696e-05,411,1,06:00
2025-06-02 05:00:01+02:00,0.00843681710213777,-0.0004156318289786223,9.98341337679464e-05,421,1,06:00
2025-06-02 05:10:01+02:00,0.008489095127610206,-0.00041510904872389795,5.227802547243601e-05,431,1,06:00
2025-06-02 05:20:01+02:00,0.008544897959183674,-0.00041455102040816326,5.58028315734687e-05,441,1,06:00
2025-06-02 05:30:01+02:00,0.008596008869179599,-0.000414039911308204,5.1110909995924145e-05,451,1,06:00
2025-06-02 05:40:01+02:00,0.008781778741865509,-0.0004121822125813449,0.0001857698726859102,461,1,06:00
2025-06-02 05:50:01+02:00,0.008944373673036089,-0.0004105562632696391,0.00016259493117058016,471,1,06:00
2025-06-02 06:01:00+02:00,0.009999999999999998,-0.000372,0.0010556263269639096,2,2,14:00
2025-06-02 06:11:00+02:00,0.008175000000000007,-0.00041824999999999995,-0.0018249999999999916,12,2,14:00
2025-06-02 06:21:00+02:00,0.009999999999999998,-0.00039295454545454546,0.0018249999999999916,22,2,14:00
2025-06-02 06:31:00+02:00,0.009999999999999998,-0.00038284375,0.0,32,2,14:00
2025-06-02 06:41:00+02:00,0.009999999999999998,-0.0003749047619047619,0.0,42,2,14:00
2025-06-02 06:51:00+02:00,0.009999999999999998,-0.0003675384615384616,0.0,52,2,14:00
2025-06-02 07:01:00+02:00,0.009999999999999998,-0.0003619677419354838,0.0,62,2,14:00
2025-06-02 07:11:00+02:00,0.009999999999999998,-0.0003549722222222223,0.0,72,2,14:00
2025-06-02 07:21:00+02:00,0.009999999999999998,-0.00035439024390243904,0.0,82,2,14:00
2025-06-02 07:31:00+02:00,0.009999999999999998,-0.000348336956521739,0.0,92,2,14:00
2025-06-02 07:41:00+02:00,0.009999999999999998,-0.00034668627450980385,0.0,102,2,14:00
2025-06-02 07:51:00+02:00,0.009999999999999998,-0.00034530357142857144,0.0,112,2,14:00
2025-06-02 08:01:00+02:00,0.009999999999999998,-0.00034299999999999993,0.0,122,2,14:00
2025-06-02 08:11:00+02:00,0.009999999999999998,-0.0003438257575757576,0.0,132,2,14:00
2025-06-02 08:21:00+02:00,0.009999999999999998,-0.00034726056338028167,0.0,142,2,14:00
2025-06-02 08:31:00+02:00,0.009999999999999998,-0.0003475723684210526,0.0,152,2,14:00
2025-06-02 08:41:00+02:00,0.009999999999999998,-0.0003488641975308642,0.0,162,2,14:00
2025-06-02 08:51:00+02:00,0.009999999999999998,-0.0003505348837209302,0.0,172,2,14:00
2025-06-02 09:01:00+02:00,0.009999999999999998,-0.00035419230769230764,0.0,182,2,14:00
2025-06-02 09:11:00+02:00,0.009999999999999998,-0.0003587864583333333,0.0,192,2,14:00
2025-06-02 09:21:00+02:00,0.009999999999999998,-0.0003648316831683168,0.0,202,2,14:00
