timestamp,predicted_funding,predicted_funding_percent,premium_index,data_points,hours_since_settlement,settlement_target,window,time_prague,funding_change
2025-05-30 06:16:00+00:00,-0.000201116788321168,-0.0201116788321168,-0.000701116788321168,137,2.2666666666666666,2025-05-30 12:00:00+00:00,2,2025-05-30 08:16:00+02:00,0.000643239200670085
2025-05-30 06:31:00+00:00,-0.00019857894736842105,-0.019857894736842106,-0.0006985789473684211,152,2.5166666666666666,2025-05-30 12:00:00+00:00,2,2025-05-30 08:31:00+02:00,0.00025378409527469434
2025-05-30 06:46:00+00:00,-0.00019288622754491018,-0.019288622754491017,-0.0006928862275449102,167,2.7666666666666666,2025-05-30 12:00:00+00:00,2,2025-05-30 08:46:00+02:00,0.000569271982351089
2025-05-30 07:01:00+00:00,-0.00018413736263736265,-0.018413736263736265,-0.0006841373626373627,182,3.0166666666666666,2025-05-30 12:00:00+00:00,2,2025-05-30 09:01:00+02:00,0.0008748864907547511
2025-05-30 07:16:00+00:00,-0.0001741015228426397,-0.01741015228426397,-0.0006741015228426397,197,3.2666666666666666,2025-05-30 12:00:00+00:00,2,2025-05-30 09:16:00+02:00,0.0010035839794722938
2025-05-30 07:31:00+00:00,-0.00016386320754716987,-0.016386320754716986,-0.0006638632075471699,212,3.5166666666666666,2025-05-30 12:00:00+00:00,2,2025-05-30 09:31:00+02:00,0.0010238315295469855
2025-05-30 07:46:00+00:00,-0.00015642731277533037,-0.015642731277533038,-0.0006564273127753304,227,3.7666666666666666,2025-05-30 12:00:00+00:00,2,2025-05-30 09:46:00+02:00,0.000743589477183948
2025-05-30 08:01:00+00:00,-0.00014137603305785118,-0.014137603305785118,-0.0006413760330578512,242,4.016666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 10:01:00+02:00,0.0015051279717479202
2025-05-30 08:16:00+00:00,-0.00011693774319066147,-0.011693774319066147,-0.0006169377431906615,257,4.266666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 10:16:00+02:00,0.0024438289867189707
2025-05-30 08:31:00+00:00,-9.55955882352941e-05,-0.00955955882352941,-0.0005955955882352941,272,4.516666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 10:31:00+02:00,0.0021342154955367367
2025-05-30 08:46:00+00:00,-7.614982578397209e-05,-0.00761498257839721,-0.0005761498257839721,287,4.766666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 10:46:00+02:00,0.001944576245132201
2025-05-30 09:01:00+00:00,-5.665894039735104e-05,-0.0056658940397351035,-0.000556658940397351,302,5.016666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 11:01:00+02:00,0.001949088538662106
2025-05-30 09:16:00+00:00,-3.9974763406940114e-05,-0.003997476340694011,-0.0005399747634069401,317,5.266666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 11:16:00+02:00,0.0016684176990410925
2025-05-30 09:31:00+00:00,-2.6885542168674685e-05,-0.0026885542168674685,-0.0005268855421686747,332,5.516666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 11:31:00+02:00,0.0013089221238265425
2025-05-30 09:46:00+00:00,-1.2521613832853075e-05,-0.0012521613832853075,-0.0005125216138328531,347,5.766666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 11:46:00+02:00,0.001436392833582161
2025-05-30 10:01:00+00:00,-3.0082872928176643e-06,-0.00030082872928176643,-0.0005030082872928177,362,6.016666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 12:01:00+02:00,0.000951332654003541
2025-05-30 10:16:00+00:00,4.832891246684388e-06,0.0004832891246684388,-0.0004951671087533156,377,6.266666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 12:16:00+02:00,0.0007841178539502052
2025-05-30 10:31:00+00:00,1.3783163265306073e-05,0.0013783163265306073,-0.00048621683673469394,392,6.516666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 12:31:00+02:00,0.0008950272018621685
2025-05-30 10:46:00+00:00,2.0248157248157204e-05,0.0020248157248157206,-0.0004797518427518428,407,6.766666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 12:46:00+02:00,0.0006464993982851133
2025-05-30 11:01:00+00:00,2.5023696682464425e-05,0.0025023696682464425,-0.0004749763033175356,422,7.016666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 13:01:00+02:00,0.0004775539434307219
2025-05-30 11:16:00+00:00,2.6061784897025053e-05,0.0026061784897025053,-0.00047393821510297496,437,7.266666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 13:16:00+02:00,0.00010380882145606283
2025-05-30 11:31:00+00:00,2.797566371681411e-05,0.002797566371681411,-0.0004720243362831859,452,7.516666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 13:31:00+02:00,0.0001913878819789056
2025-05-30 11:46:00+00:00,3.053104925053538e-05,0.003053104925053538,-0.00046946895074946463,467,7.766666666666667,2025-05-30 12:00:00+00:00,2,2025-05-30 13:46:00+02:00,0.00025553855337212723
2025-05-30 12:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00037600000000000003,2,0.016666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 14:01:00+02:00,0.00694689507494646
2025-05-30 12:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00031017647058823527,17,0.26666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 14:16:00+02:00,0.0
2025-05-30 12:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00029871875,32,0.5166666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 14:31:00+02:00,0.0
2025-05-30 12:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00032374468085106373,47,0.7666666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 14:46:00+02:00,0.0
2025-05-30 13:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.0003360806451612903,62,1.0166666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 15:01:00+02:00,0.0
2025-05-30 13:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00033740259740259744,77,1.2666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 15:16:00+02:00,0.0
2025-05-30 13:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.0003335217391304348,92,1.5166666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 15:31:00+02:00,0.0
2025-05-30 13:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00031076635514018687,107,1.7666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 15:46:00+02:00,0.0
2025-05-30 14:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00030473770491803277,122,2.0166666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 16:01:00+02:00,0.0
2025-05-30 14:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.00031456204379562045,137,2.2666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 16:16:00+02:00,0.0
2025-05-30 14:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,2.5166666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 16:31:00+02:00,0.0
2025-05-30 14:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,2.7666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 16:46:00+02:00,0.0
2025-05-30 15:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,3.0166666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 17:01:00+02:00,0.0
2025-05-30 15:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,3.2666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 17:16:00+02:00,0.0
2025-05-30 15:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,3.5166666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 17:31:00+02:00,0.0
2025-05-30 15:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,3.7666666666666666,2025-05-30 20:00:00+00:00,3,2025-05-30 17:46:00+02:00,0.0
2025-05-30 16:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,4.016666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 18:01:00+02:00,0.0
2025-05-30 16:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,4.266666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 18:16:00+02:00,0.0
2025-05-30 16:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,4.516666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 18:31:00+02:00,0.0
2025-05-30 16:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,4.766666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 18:46:00+02:00,0.0
2025-05-30 17:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,5.016666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 19:01:00+02:00,0.0
2025-05-30 17:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,5.266666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 19:16:00+02:00,0.0
2025-05-30 17:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,5.516666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 19:31:00+02:00,0.0
2025-05-30 17:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,5.766666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 19:46:00+02:00,0.0
2025-05-30 18:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,6.016666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 20:01:00+02:00,0.0
2025-05-30 18:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,6.266666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 20:16:00+02:00,0.0
2025-05-30 18:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,6.516666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 20:31:00+02:00,0.0
2025-05-30 18:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,6.766666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 20:46:00+02:00,0.0
2025-05-30 19:01:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,7.016666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 21:01:00+02:00,0.0
2025-05-30 19:16:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,7.266666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 21:16:00+02:00,0.0
2025-05-30 19:31:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,7.516666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 21:31:00+02:00,0.0
2025-05-30 19:46:00+00:00,9.999999999999999e-05,0.009999999999999998,-0.000323751677852349,149,7.766666666666667,2025-05-30 20:00:00+00:00,3,2025-05-30 21:46:00+02:00,0.0
