Cas_Praha,Predicted_Funding_%,Premium_Index,Zmena_%,Pocet_dat,Okno,Ciel_Settlement
2025-06-14 15:01:00+02:00,0.0038177419354838696,-0.0004618225806451613,-0.0006918734491315167,62,3,22:00
2025-06-14 15:11:00+02:00,0.0031458333333333316,-0.0004685416666666667,-0.0006719086021505379,72,3,22:00
2025-06-14 15:21:00+02:00,0.003717073170731708,-0.00046282926829268293,0.0005712398373983762,82,3,22:00
2025-06-14 15:31:00+02:00,0.004305434782608688,-0.0004569456521739131,0.0005883616118769804,92,3,22:00
2025-06-14 15:41:00+02:00,0.004458823529411761,-0.0004554117647058824,0.00015338874680307247,102,3,22:00
2025-06-14 15:51:00+02:00,0.0041410714285714315,-0.0004585892857142857,-0.0003177521008403293,112,3,22:00
2025-06-14 16:01:00+02:00,0.004277868852459014,-0.00045722131147540987,0.0001367974238875823,122,3,22:00
2025-06-14 16:11:00+02:00,0.004521969696969689,-0.0004547803030303031,0.0002441008445106755,132,3,22:00
2025-06-14 16:21:00+02:00,0.00414154929577464,-0.0004585845070422536,-0.00038042040119504964,142,3,22:00
2025-06-14 16:31:00+02:00,0.00412236842105263,-0.0004587763157894737,-1.918087472200982e-05,152,3,22:00
2025-06-14 16:41:00+02:00,0.004177777777777784,-0.00045822222222222217,5.5409356725153944e-05,162,3,22:00
2025-06-14 16:51:00+02:00,0.004302325581395346,-0.00045697674418604655,0.00012454780361756228,172,3,22:00
2025-06-14 17:01:00+02:00,0.004126923076923074,-0.00045873076923076927,-0.00017540250447227197,182,3,22:00
2025-06-14 17:11:00+02:00,0.004096354166666674,-0.00045903645833333327,-3.0568910256399684e-05,192,3,22:00
2025-06-14 17:21:00+02:00,0.004254950495049501,-0.000457450495049505,0.00015859632838282657,202,3,22:00
2025-06-14 17:31:00+02:00,0.004381603773584902,-0.000456183962264151,0.00012665327853540135,212,3,22:00
2025-06-14 17:41:00+02:00,0.004259459459459461,-0.0004574054054054054,-0.00012214431412544118,222,3,22:00
2025-06-14 17:51:00+02:00,0.004177155172413802,-0.000458228448275862,-8.2304287045659e-05,232,3,22:00
2025-06-14 18:01:00+02:00,0.003921074380165289,-0.0004607892561983471,-0.000256080792248513,242,3,22:00
2025-06-14 18:11:00+02:00,0.00390793650793651,-0.0004609206349206349,-1.3137872228779525e-05,252,3,22:00
2025-06-14 18:21:00+02:00,0.0036442748091603068,-0.00046355725190839694,-0.0002636616987762028,262,3,22:00
2025-06-14 18:31:00+02:00,0.0036227941176470583,-0.0004637720588235294,-2.148069151324851e-05,272,3,22:00
2025-06-14 18:41:00+02:00,0.0035517730496453844,-0.00046448226950354616,-7.102106800167384e-05,282,3,22:00
2025-06-14 18:51:00+02:00,0.0035181506849315137,-0.0004648184931506849,-3.362236471387073e-05,292,3,22:00
2025-06-14 19:01:00+02:00,0.0033109271523178857,-0.00046689072847682115,-0.00020722353261362798,302,3,22:00
2025-06-14 19:11:00+02:00,0.0032022435897435917,-0.0004679775641025641,-0.00010868356257429405,312,3,22:00
2025-06-14 19:21:00+02:00,0.0028627329192546574,-0.00047137267080745343,-0.00033951067048893424,322,3,22:00
2025-06-14 19:31:00+02:00,0.002800602409638555,-0.00047199397590361446,-6.213050961610244e-05,332,3,22:00
2025-06-14 19:41:00+02:00,0.0028526315789473688,-0.0004714736842105263,5.202916930881381e-05,342,3,22:00
2025-06-14 19:51:00+02:00,0.0030284090909090964,-0.00046971590909090905,0.00017577751196172758,352,3,22:00
2025-06-14 20:01:00+02:00,0.0029773480662983456,-0.00047022651933701655,-5.106102461075075e-05,362,3,22:00
2025-06-14 20:11:00+02:00,0.003071236559139783,-0.0004692876344086022,9.388849284143724e-05,372,3,22:00
